Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss
Ss;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;Ss
Ss;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;Ss
Ss;B;B;B;F;F;F;F;F;F;F;F;F;F@;B;B;Ss
Ss;B;B;B;F;F;F;F;F;F;F;F;F;F;B;B;Ss
Ss;B;B;F;F;F;F;F;M;M;M;M;F;F;B;B;Ss
Ss;B;B;F;Ft;F;F;M;M;M;M;M;M;F;B;B;Ss
Ss;B;B;F;F;F;M;M;M;M;M;M;M;F;B;B;Ss
Ss;B;B;B;F;F;M;M;M;M;M;M;M;M;B;B;Ss
Ss;B;B;F;F;F;F;F;M;M;M;M;M;M;B;B;Ss
Ss;B;B;B;F;F;F;M;M;M;M;M;M;M;Bt;B;Ss
Ss;B;B;B;B;B;B;M;M;M;M;M;M;B;B;B;Ss
Ss;B;B;B;B;B;B;B;B;M;M;M;B;B;B;B;Ss
Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss
