Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss
Ss;Ss;Ss;Ss;B;B;B;Ss;B;B;B;B;B;B;B;Ss;Ss
Ss;Ss;B;Ba;B;B;B;B;Bh;B;B;Bw;B;Bt;B;B;Ss
Ss;B;B;B;F;F;F;F;F;F;F;F;F;F;B;B;Ss
Ss;B;B;B;M;Md;Mf;M;M;F;F;F;F;Fk;B;B;Ss
Ss;B;B@;M;M;M;M;M;Mb;M;M;M;F;F;B;Ss;Ss
Ss;B;B;M;M;Md;M;M;M;Mk;M;M;M;F;F;B;Ss
Ss;B;Bk;M;M;M;Mc;M;M;M;M;M;F;F;Fa;B;Ss
Ss;B;M;Md;M;M;M;M;Ma;M;Fw;F;F;F;F;B;Ss
Ss;B;B;F;M;Mw;F;F;M;M;M;F;Fb;F;B;B;Ss
Ss;B;B;F;F;F;F;M;M;M;Fk;F;F;F;B;Ss;Ss
Ss;Ss;B;Bf;B;B;B;Mh;M;M;M;F;Ft;B;B;Ss;Ss
Ss;Ss;B;B;B;B;B;B;F;F;F;F;B;B;Ss;Ss;Ss
Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss;Ss
